k, comm_radius, reward
1, 3.0, -31.69065203280814, 3.435764166655853
1, 2.5, -30.9645269384228, 3.179185440574518
1, 2.0, -31.74263258329243, 3.226175205490666
1, 1.5, -58.604169195150256, 20.431188919321954
1, 1.0, -229.15979292372407, 122.16289677324487
2, 3.0, -29.351584659516618, 2.7766175024213786
2, 2.5, -29.133294294004866, 2.696532059169444
2, 2.0, -30.30331212166963, 2.7409862324263674
2, 1.5, -33.06493390855818, 2.936033937624822
2, 1.0, -50.51020781200708, 12.566522373659023
3, 3.0, -29.33382391453943, 2.8138072342757634
3, 2.5, -29.23315525970899, 2.675785982848032
3, 2.0, -29.8696894261329, 2.738740138936384
3, 1.5, -31.26884552979589, 2.697956516540482
3, 1.0, -40.95792156471694, 4.1560902247655385
4, 3.0, -28.797047794471514, 2.6790574740301927
4, 2.5, -28.44558367398712, 2.569181273123399
4, 2.0, -28.999198864859647, 2.5661520530563546
4, 1.5, -29.983003877649498, 2.6451828889869327
4, 1.0, -38.293215563303235, 3.1199301223969256
4, 4.0, -34.152806533996355, 4.115580451721444
3, 4.0, -34.7288654153865, 4.172716013152299
2, 4.0, -34.69124666223094, 4.1762191630953955
1, 4.0, -37.19132506809642, 4.3176471922570165