v_max, k, reward
0.5, 1, -265.96624277319034, 171.09201160652418
0.5, 2, -173.4675811789647, 127.76333924053576
0.5, 3, -95.65857812492855, 61.25285310884652
0.5, 4, -82.40344384440718, 44.79116527519365
1.5, 1, -284.6656641965192, 191.95835361802654
1.5, 2, -207.537892449015, 171.46084233900942
1.5, 3, -98.16058785408053, 51.93604448071618
1.5, 4, -87.78799902648197, 44.251734309113196
2.5, 1, -320.21759707284457, 202.82875755010548
2.5, 2, -232.52728670626703, 169.3971310563614
2.5, 3, -120.23760357908718, 62.58172141385263
2.5, 4, -108.30893892866409, 50.69440937312459
3.5, 1, -392.67553905211025, 216.09274675574838
3.5, 2, -278.3841897461442, 173.8057266168226
3.5, 3, -153.43542745666386, 64.28711825762787
3.5, 4, -142.49083879629916, 59.623424567417835
4.5, 1, -497.1121977889471, 222.72392317481095
4.5, 2, -344.6842516472235, 157.28069514039387
4.5, 3, -216.4462385522003, 73.31521227099545
4.5, 4, -205.10812752238616, 74.0583997187233